cell_id,red_id,FeO,TiO,Al2O3,SiO2,cell_area,is_clipped,geometry_wkt
C00024,R02,47.36,13.38,0.0,0.0,97521.53882390614,False,"POLYGON ((3948.59 3953.13, 4111.27 4029.14, 4125.01 4028.85, 4417.14 3724.43, 4332.13 3533.3, 3958.32 3918.68, 3948.59 3953.13))"
C00025,R25,38.21,0.0,0.0,0.0,78721.5123097563,False,"POLYGON ((4870 4046.94, 4789.18 4043.72, 4602.33 4186.29, 4600.57 4323.03, 4859.35 4446.51, 4870 4445.76, 4870 4046.94))"
C00026,R09,39.02,0.0,0.0,0.0,140180.46039656596,True,"POLYGON ((4332.13 3533.3, 4417.14 3724.43, 4469.32 3762, 4654.63 3774.33, 4870 3654.41, 4870 3614.81, 4522.38 3337.16, 4332.13 3533.3))"
C00027,R09,39.02,0.0,0.0,0.0,87600.44873742556,False,"POLYGON ((4469.32 3762, 4417.14 3724.43, 4125.01 4028.85, 4250.61 4127.5, 4500.22 4080.08, 4469.32 3762))"
C00028,R06,34.64,0.0,0.0,29.06,72716.9267472435,False,"POLYGON ((4212.57 4470.57, 4306.32 4413.31, 4250.61 4127.5, 4125.01 4028.85, 4111.27 4029.14, 4032.75 4304.07, 4212.57 4470.57))"
C00029,R06,34.64,0.0,0.0,29.06,154800.85525770238,True,"POLYGON ((4580.14 4870, 4472.67 4418.09, 4306.32 4413.31, 4212.57 4470.57, 4168.21 4557.66, 4174.43 4870, 4580.14 4870))"
C00030,R06,34.64,0.0,0.0,29.06,70739.99239025288,True,"POLYGON ((4212.57 4470.57, 4032.75 4304.07, 3841.31 4332.89, 3793.56 4501.9, 4168.21 4557.66, 4212.57 4470.57))"
C00031,R06,34.64,0.0,0.0,29.06,100124.48354922122,False,"POLYGON ((4174.43 4870, 4168.21 4557.66, 3793.56 4501.9, 3788.17 4520.98, 3961.47 4870, 4174.43 4870))"
C00032,R09,39.02,0.0,0.0,0.0,87849.28555670574,False,"POLYGON ((4469.32 3762, 4500.22 4080.08, 4602.33 4186.29, 4789.18 4043.72, 4654.63 3774.33, 4469.32 3762))"
C00033,R25,38.21,0.0,0.0,0.0,108291.01201367057,False,"POLYGON ((4472.67 4418.09, 4580.14 4870, 4590.77 4870, 4859.35 4446.51, 4600.57 4323.03, 4472.67 4418.09))"
C00034,R09,39.02,0.0,0.0,0.0,52940.541376253095,True,"POLYGON ((4870 3654.41, 4654.63 3774.33, 4789.18 4043.72, 4870 4046.94, 4870 3654.41))"
C00035,R06,34.64,0.0,0.0,29.06,60152.50990381799,True,"POLYGON ((3841.31 4332.89, 4032.75 4304.07, 4111.27 4029.14, 3948.59 3953.13, 3841.31 4332.89))"
C00036,R06,34.64,0.0,0.0,29.06,92553.57264285139,False,"POLYGON ((4250.61 4127.5, 4306.32 4413.31, 4472.67 4418.09, 4600.57 4323.03, 4602.33 4186.29, 4500.22 4080.08, 4250.61 4127.5))"
C00037,R25,38.21,0.0,0.0,0.0,61387.05456057498,True,"POLYGON ((4870 4445.76, 4859.35 4446.51, 4590.77 4870, 4870 4870, 4870 4445.76))"
C00038,R27,48.99,0.0,19.36,0.0,98498.44814277158,False,"POLYGON ((2399.14 2614.88, 2376.25 2526.19, 2197.92 2380.17, 1933.14 2588.8, 1991.01 2764.57, 2399.14 2614.88))"
C00039,R27,48.99,0.0,19.36,0.0,96911.57188500403,False,"POLYGON ((1991.01 2764.57, 1933.14 2588.8, 1852.54 2534.98, 1592.35 2570.22, 1538.07 2780.21, 1832.33 2822.78, 1991.01 2764.57))"
C00040,R01,39.46,11.88,0.0,0.0,96782.53394003435,False,"POLYGON ((1529.8 2500.18, 1592.35 2570.22, 1852.54 2534.98, 1823 2148.85, 1809.88 2140.39, 1509.83 2374.24, 1529.8 2500.18))"
C00041,R01,39.46,11.88,0.0,0.0,68366.43481730278,True,"POLYGON ((1625.99 1215.63, 1725.61 1343.51, 1963.52 1394.38, 1970.59 1130, 1726.8 1130, 1625.99 1215.63))"
C00042,R28,0.0,4.09,14.36,33.8,157093.9702114441,True,"POLYGON ((1986 1434.76, 2135.54 1813.72, 2225.24 1876.11, 2254.63 1867.86, 2519.85 1420.84, 2467.31 1358.82, 1988.29 1422.37, 1986 1434.76))"
C00043,R27,48.99,0.0,19.36,0.0,39868.295855158394,True,"POLYGON ((2627.86 2385.15, 2512.64 2375.19, 2376.25 2526.19, 2399.14 2614.88, 2642.13 2525.75, 2627.86 2385.15))"
C00044,R01,39.46,11.88,0.0,0.0,78726.05911732382,False,"POLYGON ((1170.79 2578.76, 1529.8 2500.18, 1509.83 2374.24, 1428.13 2298.43, 1171.17 2313.11, 1170.79 2578.76))"
C00045,R01,39.46,11.88,0.0,0.0,86117.07703044442,False,"POLYGON ((1986 1434.76, 1688.84 1833.46, 2135.54 1813.72, 1986 1434.76))"
C00046,R27,48.99,0.0,19.36,0.0,122410.46351472726,True,"POLYGON ((2189.37 2273.9, 2092.78 2137.34, 1823 2148.85, 1852.54 2534.98, 1933.14 2588.8, 2197.92 2380.17, 2189.37 2273.9))"
C00047,R01,39.46,11.88,0.0,0.0,93183.22498757532,False,"POLYGON ((1171.17 2313.11, 1428.13 2298.43, 1464.37 1953.36, 1165.29 1983.57, 1171.28 2233.06, 1171.17 2313.11))"
C00048,R28,0.0,4.09,14.36,33.8,108616.49416767829,False,"POLYGON ((1970.59 1130, 1963.52 1394.38, 1988.29 1422.37, 2467.31 1358.82, 2273.48 1130, 1970.59 1130))"
C00049,R01,39.46,11.88,0.0,0.0,131717.62067697395,True,"POLYGON ((1615.11 1861.51, 1634.74 1866.71, 1688.84 1833.46, 1986 1434.76, 1988.29 1422.37, 1963.52 1394.38, 1725.61 1343.51, 1495.94 1627.03, 1615.11 1861.51))"
C00050,R01,39.46,11.88,0.0,0.0,73825.5409794348,False,"POLYGON ((1333.25 1518.92, 1495.94 1627.03, 1725.61 1343.51, 1625.99 1215.63, 1460.34 1356.34, 1333.25 1518.92))"
C00051,R26,0.0,0.0,0.0,48.74,31690.6968841802,True,"POLYGON ((2577.47 1888.68, 2413.33 1957.78, 2495.44 2144.43, 2602.92 2139.36, 2577.47 1888.68))"
C00052,R01,39.46,11.88,0.0,0.0,116123.36614554755,True,"POLYGON ((1464.37 1953.36, 1428.13 2298.43, 1509.83 2374.24, 1809.88 2140.39, 1634.74 1866.71, 1615.11 1861.51, 1464.37 1953.36))"
C00053,R26,0.0,0.0,0.0,48.74,29233.514784196774,True,"POLYGON ((2602.92 2139.36, 2495.44 2144.43, 2474.14 2178.79, 2512.64 2375.19, 2627.86 2385.15, 2602.92 2139.36))"
C00054,R28,0.0,4.09,14.36,33.8,92881.3082401172,False,"POLYGON ((2519.85 1420.84, 2254.63 1867.86, 2413.33 1957.78, 2577.47 1888.68, 2561.62 1732.52, 2552.68 1459.59, 2519.85 1420.84))"
C00055,R01,39.46,11.88,0.0,0.0,142837.1125784437,True,"POLYGON ((1634.74 1866.71, 1809.88 2140.39, 1823 2148.85, 2092.78 2137.34, 2225.24 1876.11, 2135.54 1813.72, 1688.84 1833.46, 1634.74 1866.71))"
C00056,R26,0.0,0.0,0.0,48.74,100270.50864836984,False,"POLYGON ((2092.78 2137.34, 2189.37 2273.9, 2474.14 2178.79, 2495.44 2144.43, 2413.33 1957.78, 2254.63 1867.86, 2225.24 1876.11, 2092.78 2137.34))"
C00057,R01,39.46,11.88,0.0,0.0,86314.11967305714,False,"POLYGON ((1538.07 2780.21, 1592.35 2570.22, 1529.8 2500.18, 1170.79 2578.76, 1170.58 2727.05, 1538.07 2780.21))"
C00058,R27,48.99,0.0,19.36,0.0,69960.781519983,True,"POLYGON ((2189.37 2273.9, 2197.92 2380.17, 2376.25 2526.19, 2512.64 2375.19, 2474.14 2178.79, 2189.37 2273.9))"
C00059,R01,39.46,11.88,0.0,0.0,140048.87296832318,True,"POLYGON ((1165.29 1983.57, 1464.37 1953.36, 1615.11 1861.51, 1495.94 1627.03, 1333.25 1518.92, 1159.46 1741.23, 1165.29 1983.57))"
